stations,NOME,BACIA,ALTITUDE (M),COORD_X,COORD_Y,LATITUDE,LONGITUDE,ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
11H.10,ALB. AGUIEIRA - MARINA,MONDEGO,-,-4644.3,74472.44,40.33744,-8.18444,ARH-CENTRO,-,-,-,RIO MONDEGO,-,-,01/01/2015,-,DQA,ATIVA
11H.02,ALB. AGUIEIRA - MORTÁGUA - CAPT. 48,,-,-,-,40.387117,-8.17543,ARH-CENTRO,VISEU,MORTÁGUA,UNIÃO DAS FREGUESIAS DE MORTÁGUA  VALE DE REMÍGIO  CORTEGAÇA E ALMAÇA,,-,-,-,-,CAPTAÇÃO,-
11I.14C,ALB. AGUIEIRA - PINHEIRO DE ÁZERE / TÁBUA (C),MONDEGO,-,2993.71,76252.14,40.3549935,-8.0978675,ARH-CENTRO,-,-,-,RIO MONDEGO,-,-,01/01/2015,-,DQA,ATIVA
11I.14S,ALB. AGUIEIRA - PINHEIRO DE ÁZERE / TÁBUA (S),MONDEGO,-,2993.71,76252.14,40.3549935,-8.0978675,ARH-CENTRO,-,-,-,RIO MONDEGO,-,-,01/01/2015,-,DQA,ATIVA
11I.10,ALB. AGUIEIRA - S. JOÃO AREIAS/TÁBUA - CAPT. 22,MONDEGO,128,206202,378189,40.3724,-8.061369,ARH-CENTRO,VISEU,SANTA COMBA DÃO,SÃO JOÃO DE AREIAS,RIO MONDEGO,1543.8,106.79,19/02/2001,-,CAPTAÇÃO-75-440 / EXTRACÇÃO / DQA_QUIM_VIG,ATIVA
11I.11,ALB. AGUIEIRA - SANTA COMBA DÃO - GRANJAL,MONDEGO,135,200795,381006,40.3978,-8.12374,ARH-CENTRO,VISEU,SANTA COMBA DÃO,SANTA COMBA DÃO,RIO DÃO,1141.4,102.41,19/02/2001,01/01/2016,DQA_QUIM_VIG,DESATIVADA
11I.11C,ALB. AGUIEIRA - SANTA COMBA DÃO - GRANJAL (C),MONDEGO,-,200795,381006,40.3978,-8.12374,ARH-CENTRO,VISEU,SANTA COMBA DÃO,SANTA COMBA DÃO,RIO DÃO,-,-,01/01/2014,-,DQA_QUIM_VIG,ATIVA
11I.11F,ALB. AGUIEIRA - SANTA COMBA DÃO - GRANJAL (F),MONDEGO,-,200795,381006,40.3978,-8.12374,ARH-CENTRO,VISEU,SANTA COMBA DÃO,SANTA COMBA DÃO,RIO DÃO,-,-,01/01/2014,-,DQA_QUIM_VIG,ATIVA
11H.11F,ALB. AGUIEIRA_est 1 fundo - CCHE,MONDEGO,-,-,-,40.34372,-8.19408,EDP,VISEU,MORTÁGUA,ALMAÇA,RIO MONDEGO,-,-,01/01/2010,-,TURH,ATIVA
11H.11C,ALB. AGUIEIRA_est 1 int - CCHE,MONDEGO,-,-,-,40.34372,-8.19408,EDP,VISEU,MORTÁGUA,ALMAÇA,RIO MONDEGO,-,-,01/01/2010,-,TURH,ATIVA
11H.11M,ALB. AGUIEIRA_est 1 meio - CCHE,MONDEGO,-,-,-,40.34372,-8.19408,EDP,VISEU,MORTÁGUA,ALMAÇA,RIO MONDEGO,-,-,01/01/2010,-,TURH,ATIVA
11H.11P,ALB. AGUIEIRA_est 1 perfil - CCHE,MONDEGO,-,-,-,40.34372,-8.19408,EDP,VISEU,MORTÁGUA,ALMAÇA,RIO MONDEGO,-,-,01/01/2010,-,TURH,ATIVA
11H.09F,ALB. AGUIEIRA_est 2 fundo - CCHE,MONDEGO,-,-,-,40.33744,-8.18444,EDP,VISEU,SANTA COMBA DÃO,OVOA,RIO MONDEGO,-,-,01/01/2010,-,TURH,ATIVA
11H.09C,ALB. AGUIEIRA_est 2 int - CCHE,MONDEGO,-,-,-,40.33744,-8.18444,EDP,VISEU,SANTA COMBA DÃO,OVOA,RIO MONDEGO,-,-,01/01/2010,-,TURH,ATIVA
11H.09M,ALB. AGUIEIRA_est 2 meio - CCHE,MONDEGO,-,-,-,40.33744,-8.18444,EDP,VISEU,SANTA COMBA DÃO,OVOA,RIO MONDEGO,-,-,01/01/2010,-,TURH,ATIVA
11H.09P,ALB. AGUIEIRA_est 2 perfil - CCHE,MONDEGO,-,-,-,40.33744,-8.18444,EDP,VISEU,SANTA COMBA DÃO,OVOA,RIO MONDEGO,-,-,01/01/2010,-,TURH,ATIVA
