stations,NOME,BACIA,ALTITUDE (M),COORD_X,COORD_Y,LATITUDE,LONGITUDE,ENTIDADE,DISTRITO,CONCELHO,FREGUESIA,RIO,ÁREA DRENADA (KM2),DISTÂNCIA FOZ (KM),ENTRADA FUNCIONAMENTO,DATA FECHO,OBJECTIVO,ESTADO
27J.50,RIBEIRA DE TERGES,GUADIANA,-,211677,90822,37.78358,-8.00036,ARH-ALENTEJO,BEJA,CASTRO VERDE,ENTRADAS,RIBEIRA DE TERGES,-,-,01/02/2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
27L.51,RIBEIRA DE TERGES I,GUADIANA,-,242089,95430,37.82404,-7.65364,ARH-ALENTEJO,BEJA,BEJA,QUINTOS,RIBEIRA DE TERGES,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
25M.51,RIBEIRA DE TORREJAIS,GUADIANA,-,256737,132974,38.16194,-7.48566,ARH-ALENTEJO,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIBEIRA DE TORJAIS,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
22I.50,RIBEIRA DE VALVERDE,SADO,-,209425,177672,38.56633,-8.02494,ARH-ALENTEJO,ÉVORA,ÉVORA,NOSSA SENHORA DE GUADALUPE,RIBEIRA DE VALVERDE OU DE S. MATIAS,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
23I.51,RIBEIRA DE VALVERDE - JUS. TOUREGA,SADO,-,208144,169860,38.49554,-8.04251,ARH-ALENTEJO,ÉVORA,ÉVORA,NOSSA SENHORA DA TOUREGA,RIBEIRA DE VALVERDE OU DE S. MATIAS,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
21N.51,RIBEIRA DE VARCHE,GUADIANA,-,283807,203351,38.79343,-7.16869,ARH-ALENTEJO,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,RIBEIRA DE VARCHE,-,-,01/02/2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
03Q.08,RIBEIRA DE VIVEIROS - PARADA,DOURO,-,-,-,41.6786,-6.67895,ARH-NORTE,BRAGANÇA,BRAGANÇA,UNIÃO DAS FREGUESIAS DE PARADA E FAÍLDE,,-,-,-,-,-,-
23J.52,RIBEIRA DO AGUILHÃO,SADO,-,213122,159496,38.40267,-7.98228,ARH-ALENTEJO,ÉVORA,VIANA DO ALENTEJO,AGUIAR,RIBEIRA DO AGUILHAO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
23F.01,RIBEIRA DO ALBERGINHO,SADO,-,-,-,38.431661,-8.528939,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,SÃO MARTINHO,,-,-,-,-,-,-
22M.56,RIBEIRA DO ALCAIDE,GUADIANA,-,264524,182443,38.60691,-7.39218,ARH-ALENTEJO,ÉVORA,ALANDROAL,TERENA (SÃO PEDRO),RIBEIRA DE ALCAIDE OU DAS LAJES OU RIBEIRO MINHOTO,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
22M.58,RIBEIRA DO AZEVEL,GUADIANA,-,266327,171661,38.50907,-7.37242,ARH-ALENTEJO,ÉVORA,REGUENGOS DE MONSARAZ,REGUENGOS DE MONSARAZ,RIBEIRA DE AZEVEL,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
05P.05,RIBEIRA DO BRASIL,DOURO,-,-,-,41.33823,-6.91379,ARH-NORTE,BRAGANÇA,ALFÂNDEGA DA FÉ,ALFÂNDEGA DA FÉ,,-,-,-,-,-,-
07P.02,RIBEIRA DO BRITA - POIARES,DOURO,-,-,-,41.0542,-6.87197,ARH-NORTE,BRAGANÇA,FREIXO DE ESPADA À CINTA,POIARES,,-,-,-,-,-,-
24L.53,RIBEIRA DO CALASTRÃO,GUADIANA,-,248020,144803,38.26353,-7.58788,ARH-ALENTEJO,ÉVORA,PORTEL,AMIEIRA,RIBEIRA DA FONTE DAS TERRAS NOVAS,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
25F.51,RIBEIRA DO CANAL,SADO,-,165635.75,129088.79,38.12802,-8.52503,ARH-ALENTEJO,SETÚBAL,GRÂNDOLA,GRÂNDOLA,RIBEIRA DO CANAL,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
03M.08,RIBEIRA DO CANEIRO - CHAVES,DOURO,-,-,-,41.734817,-7.466184,ARH-NORTE,VILA REAL,CHAVES,UNIÃO DAS FREGUESIAS DA MADALENA E SAMAIÕES,,-,-,-,-,-,-
20O.52,RIBEIRA DO CHAVES,GUADIANA,-,287096,224041,38.97914,-7.12804,ARH-ALENTEJO,PORTALEGRE,ELVAS,CAIA E SÃO PEDRO,RIBEIRA DO RICO,-,-,01/02/2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
26M.50,RIBEIRA DO ENXOÉ,GUADIANA,-,-,-,37.99407,-7.49274,ARH-ALENTEJO,BEJA,SERPA,SERPA (SALVADOR),RIBEIRA DO ENXOÉ,-,-,06/03/2013,-,DQA_ECOL_OPER,ATIVA
26M.51,RIBEIRA DO ENXOÉ II,GUADIANA,-,262810,112790,37.97967,-7.41725,ARH-ALENTEJO,BEJA,SERPA,VALE DE VARGO,RIBEIRA DO ENXOÉ,-,-,01/02/2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
22L.52,RIBEIRA DO FREIXO,GUADIANA,-,240956,178970,38.577298,-7.662975,ARH-ALENTEJO,ÉVORA,REDONDO,REDONDO,RIBEIRA DO FREIXO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
22D.50,RIBEIRA DO LIVRAMENTO,SADO,-,134054.08,174734.42,38.53591389,-8.888219444,ARH-ALENTEJO,SETÚBAL,SETÚBAL,SETÚBAL (SÃO JULIÃO),RIBEIRA DE CORVA OU DO LIVRAMENTO,-,-,01/01/2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA
25G.52,RIBEIRA DO LOUSAL,SADO,-,170859.97,119032,38.03763,-8.46504,ARH-ALENTEJO,SETÚBAL,GRÂNDOLA,AZINHEIRA DOS BARROS E SÃO MAMEDE DO SÁDÃO,RIBEIRA DO LOUSAL,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
24J.50,RIBEIRA DO MALK ABRAÃO,SADO,-,214439,138856,38.21831,-7.96977,ARH-ALENTEJO,BEJA,ALVITO,ALVITO,RIBEIRA DE MALCABRÃO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
19O.53,RIBEIRA DO MANGUENS,GUADIANA,-,284751,242259,39.13775,-7.14501,ARH-ALENTEJO,PORTALEGRE,ARRONCHES,ESPERANÇA,RIBEIRA DO ABRILONGO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
25J.53,RIBEIRA DO MATA FRADES,,-,224002,127448,38.113713,-7.85932,ARH-ALENTEJO,BEJA,BEJA,SÃO MATIAS,RIBEIRA DE MATA FRADES,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
28L.52,RIBEIRA DO MOSTEIRÃO,GUADIANA,-,254491,74154,37.63216,-7.51625,ARH-ALENTEJO,BEJA,MÉRTOLA,SANTANA DE CAMBAS,RIBEIRA DO MOSTEIRAO,-,-,01/02/2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
26I.53,RIBEIRA DO PERO BONITO,SADO,-,199247.28,113033.75,37.98407,-8.14167,ARH-ALENTEJO,BEJA,FERREIRA DO ALENTEJO,FERREIRA DO ALENTEJO,RIBEIRA DE VALE DE AGUA OU DO PERO BONITO,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
26H.54,RIBEIRA DO PERO BONITO II,SADO,-,190970.66,109228.48,37.94974,-8.23583,ARH-ALENTEJO,BEJA,ALJUSTREL,SÃO JOÃO DE NEGRILHOS,RIBEIRA DE VALE DE AGUA OU DO PERO BONITO,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
23L.51,RIBEIRA DO PIGEIRO,GUADIANA,-,241049,162183,38.41921,-7.66372,ARH-ALENTEJO,ÉVORA,ÉVORA,SÃO VICENTE DO PIGEIRO,RIBEIRA DO PIGEIRO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
28F.59,RIBEIRA DO POMAR,MIRA,-,156058.77,69168.54,37.58782,-8.63061,ARH-ALENTEJO,BEJA,ODEMIRA,ODEMIRA (SANTA MARIA),,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
27H.53,RIBEIRA DO POÇO DA VILA,SADO,-,190029.79,78584.39,37.67365,-8.24611,ARH-ALENTEJO,BEJA,OURIQUE,OURIQUE,RIBEIRA DO POCO DA VILA,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
23I.53,RIBEIRA DO REGEDOR,SADO,-,206092,155560,38.37103,-8.06454,ARH-ALENTEJO,ÉVORA,VIANA DO ALENTEJO,VIANA DO ALENTEJO,RIBEIRA DO REGEDOR,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
27F.55,RIBEIRA DO SALTO,MIRA,-,160406.09,79626.22,37.68223,-8.58195,ARH-ALENTEJO,BEJA,ODEMIRA,RELÍQUIAS,RIBEIRA DO SALTO,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
20N.50,RIBEIRA DO TORRÃO,GUADIANA,-,277192,225714,38.99571,-7.24198,ARH-ALENTEJO,PORTALEGRE,ELVAS,SANTA EULÁLIA,RIBEIRA DO TORRAO,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
22F.53,RIBEIRA DO VALE DE CÃO,SADO,-,155052,175810,38.54837,-8.64892,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTA MARIA DO CASTELO),RIBEIRA DO VALE DE CAO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
25I.53,RIBEIRA DO VALE DO OURO,SADO,-,199181,123310,38.07665,-8.14243,ARH-ALENTEJO,BEJA,FERREIRA DO ALENTEJO,FERREIRA DO ALENTEJO,RIBEIRA DO VALE DE OURO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
20O.53,RIBEIRA DO VALE MORTO,GUADIANA,-,290380,221321,38.95483,-7.09053,ARH-ALENTEJO,PORTALEGRE,CAMPO MAIOR,NOSSA SENHORA DA EXPECTAÇÃO,RIBEIRA DO VALE MORTO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
05P.04,RIBEIRA DO ZACARIAS - CASTELO,DOURO,-,-,-,41.34678,-6.91952,ARH-NORTE,BRAGANÇA,ALFÂNDEGA DA FÉ,ALFÂNDEGA DA FÉ,,-,-,-,-,-,-
25J.54,RIBEIRA DO ÁLAMO / BERINGEL - PIS1 - CCHA,SADO,-,215651,121875,38.069167,-7.966944,ARH-ALENTEJO / EDIA,BEJA,BEJA,SÃO BRISSOS,RIBEIRA DO PISAO OU DO ALAMO,-,-,01/02/2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
28H.53,RIBEIRA DO ÁLAMO_MIRA,MIRA,-,183315.09,69215.54,37.58914,-8.32201,ARH-ALENTEJO,BEJA,OURIQUE,OURIQUE,RIBEIRA DO ALAMO,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
27H.51,RIBEIRA DOS AIVADOS,SADO,-,191285.77,86977.14,37.74928,-8.23198,ARH-ALENTEJO,BEJA,OURIQUE,CONCEIÇÃO,RIBEIRA DOS AIVADOS OU DA ROSILHA,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
06O.04,RIBEIRA DOS CAVALOS,DOURO,-,-,-,41.19099,-7.11979,ARH-NORTE,BRAGANÇA,TORRE DE MONCORVO,CABEÇA BOA,,-,-,-,-,-,-
19N.55,RIBEIRA DOS DUQUES,GUADIANA,-,272836,231958,39.05216,-7.29099,ARH-ALENTEJO,PORTALEGRE,ARRONCHES,ASSUNÇÃO,RIBEIRA DOS DUQUES,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
27H.52,RIBEIRA DOS GRANDAÇOS,SADO,-,191603.83,81704.63,37.70178,-8.22831,ARH-ALENTEJO,BEJA,OURIQUE,OURIQUE,RIBEIRA DOS GRANDACOS,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
27I.51,RIBEIRA DOS LOURIÇAIS,SADO,-,203176.5,95571.63,37.82519,-8.09583,ARH-ALENTEJO,BEJA,ALJUSTREL,ALJUSTREL,RIBEIRA DO LOURICAL OU DA TORRE,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
26H.53,RIBEIRA DOS NABOS,SADO,-,183612.39,108287.54,37.94116,-8.31953,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,ALVALADE,RIBEIRA DOS NABOS,-,-,01/02/2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
21M.51,RIBEIRA DOS PARDAIS,GUADIANA,-,-,-,38.68201,-7.33538,ARH-ALENTEJO,ÉVORA,ALANDROAL,SÃO BRÁS DOS MATOS (MINA DO BUGALHO),RIBEIRA DOS PARDAIS,-,-,13/03/2013,-,DQA_QUIM_OPER,ATIVA
26L.59,RIBEIRA ENXOÉ - BRIENX2 - CCHA,GUADIANA,-,252552,114198,37.9930519,-7.5348364,ARH-ALENTEJO / EDIA,BEJA,SERPA,SERPA (SALVADOR),RIBEIRA DO ENXOÉ,-,-,01/01/2016,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA
18M.50,RIBEIRA FADAGOSA,GUADIANA,-,265117,249130,39.20764,-7.37921,ARH-ALENTEJO,PORTALEGRE,PORTALEGRE,URRA,RIBEIRA DA FADAGOSA,-,-,11/05/2009,-,DQA_ECOL_OPER,ATIVA
20H.50,RIBEIRA FANICA,TEJO,-,183063,215352,38.909104,-8.331797,ARH-TEJO,SANTARÉM,CORUCHE,COUÇO,RIBEIRA DA FANICA OU DE S. PEDRO,-,-,30/09/2009,-,DQA_ECOL_VIG,ATIVA
25H.01,RIBEIRA FIGUEIRA,SADO,-,184729,120704,38.05306,-8.30708,ARH-ALENTEJO,BEJA,FERREIRA DO ALENTEJO,CANHESTROS,RIBEIRA DO PORTO DE MOUROS OU DA FIGUEIRA OU ALFUNDÃO OU TRAMANQUEIRA,-,-,02/04/2009,-,DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA
19F.50,RIBEIRA LAMAROSA,TEJO,-,155823,236902,39.09658,-8.641284,ARH-TEJO,SANTARÉM,SALVATERRA DE MAGOS,GRANHO,RIBEIRA DA LAMAROSA,-,-,06/10/2009,-,DQA_ECOL_VIG,ATIVA
13M.50,RIBEIRA LAPA,TEJO,-,267975,340863,40.031537,-7.340785,ARH-TEJO,CASTELO BRANCO,IDANHA-A-NOVA,SÃO MIGUEL DE ACHA,RIBEIRA DA LAPA,-,-,07/01/2010,-,DQA_ECOL_VIG,ATIVA
06F.03,RIBEIRA LEANDRO,LEÇA,-,164243,475641,41.229744,-8.557667,ARH-NORTE,PORTO,MAIA,SÃO PEDRO FINS,RIBEIRO DO LEANDRO,-,-,23/04/2007,-,DQA_QUIM_VIG,ATIVA
19M.50,RIBEIRA LEÇA,TEJO,-,55725.13,-70621.51,39.03038033,-7.489554773,ARH-TEJO,-,-,-,RIBEIRA DA LECA,-,-,17/02/2011,-,DQA_ECOL_OPER,ATIVA
18L.50,RIBEIRA LINHAIS,TEJO,-,41309.28,-44716.64,39.2645106,-7.654455143,ARH-TEJO,-,-,-,,-,-,15/02/2011,-,DQA_ECOL_OPER,ATIVA
16L.03,RIBEIRA LUCRIZ (FOZ),TEJO,-,240787.75,298666.9,39.65528,-7.657851,ARH-TEJO,CASTELO BRANCO,VILA VELHA DE RÓDÃO,VILA VELHA DE RÓDÃO,RIBEIRA DE LUCRIZ,-,-,01/02/2017,-,AVALIAÇÃO ESPECÍFICA,ATIVA
21O.50,RIBEIRA LÃ,GUADIANA,-,290938,207631,38.83158,-7.08583,ARH-ALENTEJO,PORTALEGRE,ELVAS,AJUDA  SALVADOR E SANTO ILDEFONSO,RIBEIRA DA LA,-,-,29/04/2009,-,DQA_ECOL_OPER,ATIVA
22F.52,RIBEIRA MARATECA - JUSANTE VALE DAS BICAS,SADO,-,158314,179660,38.58301,-8.61162,ARH-ALENTEJO,ÉVORA,VENDAS NOVAS,LANDEIRA,RIBEIRA DA LANDEIRA OU ACUDE DAS BICAS OU RIBEIRA DO VALE MACANEDO,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
24L.50,RIBEIRA MARMELAR,GUADIANA,-,240676,140374,38.22948,-7.66854,ARH-ALENTEJO,ÉVORA,PORTEL,VERA CRUZ,RIBEIRA DE MARMELAR,-,-,23/04/2009,-,DQA_ECOL_VIG,ATIVA
26D.50,RIBEIRA MOINHOS,RIBEIRAS DO ALENTEJO,-,137898,112248,37.97488,-8.83989,ARH-ALENTEJO,SETÚBAL,SINES,SINES,BARRANCO DAS CAMARINHEIRAS,-,-,31/03/2009,-,DQA_ECOL_VIG,ATIVA
17E.04,RIBEIRA MONSANTO,TEJO,61,151620,275634,39.44743,-8.69514,CCDR-LVT,SANTARÉM,ALCANENA,MONSANTO,,134.86,145.11,01/10/1989,31/12/1997,IMPACTO,EXTINTA
04E.24,RIBEIRA MOURIZ - PERELHAL,CÁVADO/RIBEIRAS COSTEIRAS,31,153816,506057,41.522162,-8.687967,INAG/IH,BRAGA,BARCELOS,FORNELOS,RIO CÁVADO,1473.43,12.45,18/02/2002,-,SP,REATIVADA
05M.04,RIBEIRA NOURA,DOURO,407,259301,491151,41.38745,-7.42413,CCDR-NORTE,VILA REAL,MURÇA,NOURA,RIBEIRA DE MOURA,24.96,173.6,26/03/1996,28/04/1999,CAPTAÇÃO / EXTRACÇÃO,EXTINTA
28J.02,RIBEIRA OEIRAS,GUADIANA,-,218439,67858,37.576881,-7.924333,ARH-ALENTEJO,-,-,-,RIBEIRA DE OEIRAS,-,-,20/03/2012,-,PISC-CIP,ATIVA
16K.50,RIBEIRA PALHAIS,TEJO,-,230299,287499,39.552813,-7.774466,ARH-TEJO,-,-,-,RIBEIRA DE PALHAIS,-,-,15/07/2010,-,DQA_ECOL_VIG,ATIVA
04G.09,RIBEIRA PANÓIAS,CÁVADO/RIBEIRAS COSTEIRAS,52,173782,510996,41.56788,-8.44745,CCDR-NORTE,BRAGA,BRAGA,FROSSOS,RIBEIRA DAS PANOIAS,16.13,38.83,27/10/1993,20/01/2000,IMPACTO,EXTINTA
08F.01,RIBEIRA PARAMOS,DOURO,4,157265,445223,40.97496,-8.64086,ARH-NORTE,AVEIRO,ESPINHO,PARAMOS,RIBEIRA DE RIO MAIOR,-,-,04/04/2007,-,DQA_QUIM_VIG,ATIVA
03D.04,RIBEIRA PEGO,ÂNCORA,8,139657,527985,41.71907,-8.8582,CCDR-NORTE,VIANA DO CASTELO,VIANA DO CASTELO,AREOSA,RIBEIRA DO PEGO,10.32,0.63,05/01/1999,-,IMPACTO,REATIVADA
04K.02,RIBEIRA PENA,DOURO,198,226342,506990,41.53181,-7.81748,CCDR-NORTE,VILA REAL,RIBEIRA DE PENA,RIBEIRA DE PENA (SALVADOR),RIO TÂMEGA,1618.62,130.05,12/10/1993,11/01/2000,CAPTAÇÃO / EXTRACÇÃO,EXTINTA
22J.02,RIBEIRA PERAMANCA - POMARINHO,SADO,-,6699.38,-134569.33,38.456079,-8.056356,ARH-ALENTEJO,ÉVORA,ÉVORA,NOSSA SENHORA DA TOUREGA,RIBEIRA DA VISCOSSA OU PERAMANCA,-,-,24/03/2009,-,DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA
04F.03,RIBEIRA PONTES,CÁVADO/RIBEIRAS COSTEIRAS,38,160256,512924,41.58468,-8.60973,CCDR-NORTE,BRAGA,BARCELOS,CAMPO,RIBEIRA DAS PONTESINHAS,7.3,27.99,27/10/1993,20/01/2000,IMPACTO,EXTINTA
02D.01,RIBEIRA PRECES,ÂNCORA,9,139107,542072,41.846191,-8.866514,CCDR-NORTE,VIANA DO CASTELO,CAMINHA,MOLEDO,REGATO DAS PRECES,3.26,0.23,06/01/1999,05/01/2000,IMPACTO,EXTINTA
A_091,RIBEIRA ROXO,SADO,-,-,-,37.59,-8.23,DGA,-,-,-,RIBEIRA DO ROXO OU DE SANTA VITÓRIA,-,-,28/10/1985,29/12/1993,DGA,EXTINTA
17J.51,RIBEIRA SALGUEIRA,TEJO,-,223613,265461,39.35922,-7.85712,ARH-TEJO,PORTALEGRE,GAVIÃO,COMENDA,RIBEIRA DA SALGUEIRA,-,-,23/09/2009,-,DQA_ECOL_VIG,ATIVA
23G.56,RIBEIRA SANTA CATARINA SÍTIMOS - JUSANTE,SADO,-,170554,157029,38.38001,-8.47023,ARH-ALENTEJO,SETÚBAL,ALCÁCER DO SAL,ALCÁCER DO SAL (SANTIAGO),RIBEIRA DE ALCÁÇOVAS,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
20E.02,RIBEIRA SANTO ESTEVÃO,TEJO,10,148982,208835,38.848935,-8.718855,ARH-TEJO,SANTARÉM,BENAVENTE,SAMORA CORREIA,RIO ALMANSOR OU RIBEIRA DE SANTO ESTEVÃO OU DE CANHA,979.67,80.03,04/11/1985,-,IMPACTO / DQA_QUIM_VIG / DQA_ECOL_OPER,ATIVA
19K.50,RIBEIRA SARRAZOLA,TEJO,-,32058.18,-61368.28,39.11491604,-7.762434572,ARH-TEJO,-,-,-,RIBEIRA DA SARRAZOLA,-,-,15/02/2011,-,DQA_ECOL_OPER,ATIVA
26F.54,RIBEIRA SÃO DOMINGOS,SADO,-,160506,108387,37.94136,-8.58238,ARH-ALENTEJO,SETÚBAL,SANTIAGO DO CACÉM,SÃO DOMINGOS,RIBEIRA DE SÃO DOMINGOS,-,-,01/04/2009,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
16M.51,RIBEIRA SÃO JOÃO,TEJO,-,255327,290202,39.564139,-7.487525,ARH-TEJO,PORTALEGRE,NISA,-,RIBEIRA DE S. JOAO,-,-,20/01/2010,-,DQA_ECOL_VIG,ATIVA
05L.01,RIBEIRA SÃO VICENTE,DOURO,517,246075,485950,41.3415,-7.5827,ARH-NORTE,VILA REAL,SABROSA,PARADA DE PINHÃO,RIO PINHÃO,101.46,153.96,21/03/2000,-,FLUXO / PISC-SALM-2 / DQA_ECOL_VIG,ATIVA
25L.52,RIBEIRA VALE DE CERVAS - ORAAMO1 - CCHA,GUADIANA,-,249794,130176,38.14028,-7.58329,ARH-ALENTEJO / EDIA,BEJA,SERPA,PIAS,RIBEIRA DO VALE DOS CHOUPOS,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
18J.50,RIBEIRA VALE DO BISPO,TEJO,-,11890.44,-47088.04,39.244053,-7.995373,ARH-TEJO,-,-,-,RIBEIRA DO VALE DO BISPO,-,-,14/02/2011,-,DQA_ECOL_OPER,ATIVA
19L.50,RIBEIRA VIDE,TEJO,-,42303.68,-65295.36,39.07910689,-7.6442184,ARH-TEJO,-,-,-,,-,-,17/02/2011,-,DQA_ECOL_OPER,ATIVA
26I.03,RIBEIRA ÁGUA FORTE,SADO,-,199649,103234,37.89579,-8.13707,ARH-ALENTEJO,BEJA,ALJUSTREL,ALJUSTREL,RIBEIRA DA AGUA FORTE,-,-,30/06/2009,-,DQA_ECOL_VIG,ATIVA
23H.02,RIBEIRINHA,SADO,-,-,-,38.452008,-8.186025,ARH-ALENTEJO,ÉVORA,VIANA DO ALENTEJO,ALCÁÇOVAS,,-,-,-,-,-,-
25I.58,RIBEIRINHA I,SADO,-,206053.75,129012.03,38.12644444,-8.062866667,ARH-ALENTEJO,BEJA,FERREIRA DO ALENTEJO,ALFUNDÃO,,-,-,01/01/2017,-,DQA_QUIM_VIG / DQA_ECOL_VIG,ATIVA
02G.07,RIBEIRINHO,LIMA,-,-,-,41.860049,-8.425847,ARH-NORTE,VIANA DO CASTELO,ARCOS DE VALDEVEZ,UNIÃO DAS FREGUESIAS DE ARCOS DE VALDEVEZ (SALVADOR)  VILA FONCHE E PARADA,,-,-,-,-,-,-
02H.51,RIBEIRO BAIXO,LIMA,-,195759,553399,41.949881,-8.18476,ARH-NORTE,VIANA DO CASTELO,MELGAÇO,CASTRO LABOREIRO,RIO CASTRO LABOREIRO,-,-,14/10/2009,-,DQA_ECOL_VIG / CADC,ATIVA
02O.03,RIBEIRO DA PIRTIGA - TUIZELO,DOURO,-,-,-,41.86103,-7.06447,ARH-NORTE,BRAGANÇA,VINHAIS,TUIZELO,,-,-,-,-,-,-
22L.54,RIBEIRO DA VILA,GUADIANA,-,244268,171758,38.51188,-7.62571,ARH-ALENTEJO,ÉVORA,REDONDO,MONTOITO,RIBEIRO DA VILA,-,-,01/02/2015,-,DQA_ECOL_OPER / DQA_QUIM_OPER,ATIVA
25M.52,RIBEIRO DAS BRENHAS,GUADIANA,-,256737,132974,38.1514998,-7.454734,ARH-ALENTEJO,BEJA,MOURA,MOURA (SÃO JOÃO BAPTISTA),RIBEIRA DE BRENHAS,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
10O.01,RIBEIRO DAS CABRAS - PÍNZIO,DOURO,-,-,-,40.62457,-7.02794,ARH-NORTE,GUARDA,PINHEL,PÍNZIO,,-,-,-,-,-,-
22M.57,RIBEIRO DE ALCALAFATE,GUADIANA,-,265274,183732,38.62166,-7.38166,ARH-ALENTEJO,ÉVORA,ALANDROAL,TERENA (SÃO PEDRO),RIBEIRA DO ALCALATE,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
02H.53,RIBEIRO DE BAIXO - CCHE,,-,-,-,41.948569,-8.18582,EDP,VIANA DO CASTELO,MELGAÇO,CASTRO LABOREIRO,RIO CASTRO LABOREIRO,-,-,01/01/2011,-,TURH,ATIVA
04Q.01,RIBEIRO DE CASTRO - VINHAS,DOURO,-,-,-,41.54989,-6.80891,ARH-NORTE,BRAGANÇA,MACEDO DE CAVALEIROS,VINHAS,,-,-,-,-,-,-
04O.03,RIBEIRO DE FERREIRA - NOZELOS,DOURO,-,-,-,41.64062,-7.08188,ARH-NORTE,BRAGANÇA,MACEDO DE CAVALEIROS,UNIÃO DAS FREGUESIAS DE ALA E VILARINHO DO MONTE,,-,-,-,-,-,-
29F.51,RIBEIRO DE FOZ DE CASINHAS,MIRA,-,163775.97,59392.5,37.50008,-8.54275,ARH-ALENTEJO,BEJA,ODEMIRA,SABOIA,BARRANCO DO ESTRIAO,-,-,01/02/2015,-,DQA_ECOL_VIG,ATIVA
04N.02,RIBEIRO DE LAVANDEIRA - VALPAÇOS,DOURO,-,-,-,41.58629,-7.30644,ARH-NORTE,VILA REAL,VALPAÇOS,VALPAÇOS E SANFINS,,-,-,-,-,-,-
09O.05,RIBEIRO DE MALADAS - PINHEL,DOURO,-,-,-,40.76062,-7.05186,ARH-NORTE,GUARDA,PINHEL,PINHEL,,-,-,-,-,-,-
19N.52,RIBEIRO DE OUGUELA,GUADIANA,-,282964,240559,39.12542,-7.1667,ARH-ALENTEJO,PORTALEGRE,ARRONCHES,ESPERANÇA,RIBEIRA DA OUGUELA,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
22N.50,RIBEIRO DE PROVINCIOS,GUADIANA,-,273340,188009,38.65605,-7.29069,ARH-ALENTEJO,ÉVORA,ALANDROAL,ALANDROAL (NOSSA SENHORA DA CONCEIÇÃO),RIBEIRA DE PROVINCIAS,-,-,01/02/2015,-,DQA_ECOL_OPER,ATIVA
03M.07,RIBEIRO DE SANJURGE - CHAVES,DOURO,-,-,-,41.739828,-7.474362,ARH-NORTE,VILA REAL,CHAVES,SANTA MARIA MAIOR,,-,-,-,-,-,-
